State,Total,65 Years and Over,85 Years and Over
AL,4661900,641667,85079
AK,686293,50277,4844
AZ,6500180,862573,122985
AR,2855390,407205,58675
CA,36756666,4114496,612463
CO,4939456,511094,67286
CT,3501252,478007,79111
DE,873092,121688,16118
DC,591833,70648,11144
FL,18328340,3187797,521366
GA,9685744,981024,122419
HI,1288198,190067,31681
ID,1523816,182150,25501
IL,12901563,1575308,238921
IN,6376792,813839,118650
IA,3002555,444554,78699
KS,2802134,366706,62319
KY,4269245,565867,74759
LA,4410796,540314,72250
ME,1316456,199187,28719
MD,5633597,679565,91884
MA,6497967,871098,143097
MI,10003422,1304322,186744
MN,5220393,650519,106854
MS,2938618,371598,52235
MO,5911605,805235,121678
MT,967440,137312,20246
NE,1783432,240847,41008
NV,2600167,296717,31930
NH,1315809,169978,24480
NJ,8682661,1150941,175310
NM,1984356,260051,35849
NY,19490297,2607672,397954
NC,9222414,1139052,148054
ND,641481,94276,17772
OH,11485910,1570837,228649
OK,3642361,490637,69824
OR,3790060,503998,76229
PA,12448279,1910571,310242
RI,1050788,147646,26001
SC,4479800,596295,76604
SD,804194,116100,20645
TN,6214888,819626,106162
TX,24326974,2472223,332872
UT,2736424,246202,32898
VT,621270,86649,12364
VA,7769089,940577,121693
WA,6549224,783877,114860
WV,1814468,285067,38502
WI,5627967,750146,117154
WY,532668,65614,8985